raw_name;team_name;team_code
Mexico;Mexico;MEX
Korea Republic;South Korea;KOR
Canada;Canada;CAN
USA;USA;USA
Qatar;Qatar;QAT
Brazil;Brazil;BRA
Haiti;Haiti;HAI
Australia;Australia;OCE
Germany;Germany;GER
Netherlands;Netherlands;NET
Côte d'Ivoire;Côte d'Ivoire;CIV
Sweden;Sweden;SWE
Spain;Spain;SPA
Belgium;Belgium;BEL
Saudi Arabia;Saudi Arabia;ARA
IR Iran;Iran;IRN
France;France;FRA
Iraq;Iraq;IRQ
Argentina;Argentina;ARG
Austria;Austria;AUS
Portugal;Portugal;POR
England;England;ENG
Ghana;Ghana;GHA
Uzbekistan;Uzbekistan;UZB
Czechia;Czechia;CZE
Switzerland;Switzerland;SWI
Scotland;Scotland;SCO
Türkiye;Türkiye;TUR
Ecuador;Ecuador;ECU
Tunisia;Tunisia;TUN
Uruguay;Uruguay;URU
New Zealand;New Zealand;NZE
Norway;Norway;NOR
Jordan;Jordan;JOR
Panama;Panama;PAN
Colombia;Colombia;COL
Bosnia and Herzegovina;Bosnia and Herzegovina;BHE
Morocco;Morocco;MOR
South Africa;South Africa;SAF
Curaçao;Curaçao;CUR
Japan;Japan;JAP
Paraguay;Paraguay;PAR
Senegal;Senegal;SEN
Cabo Verde;Cabo Verde;CVE
Egypt;Egypt;EGY
Croatia;Croatia;CRO
Congo DR;Congo;CON
Algeria;Algeria;ALG